pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_lm	pr_is_bing
780	DDR1	discoidin domain receptor tyrosine kinase 1	1	1
7849	PAX8	paired box 8	1	1
2978	GUCA1A	guanylate cyclase activator 1A	0	0
2049	EPHB3	EPH receptor B3	0	1
2101	ESRRA	estrogen related receptor alpha	0	1
8717	TRADD	TNFRSF1A-associated via death domain	0	1
10594	PRPF8	pre-mRNA processing factor 8	0	1
826	CAPNS1	calpain, small subunit 1	0	1
11224	RPL35	ribosomal protein L35	0	1
6158	RPL28	ribosomal protein L28	0	1
1982	EIF4G2	eukaryotic translation initiation factor 4 gamma, 2	0	1
8664	EIF3D	eukaryotic translation initiation factor 3 subunit D	0	1
11315	PARK7	parkinson protein 7	0	1
6727	SRP14	signal recognition particle 14kDa	0	1
2665	GDI2	GDP dissociation inhibitor 2	0	1
6135	RPL11	ribosomal protein L11	0	1
6144	RPL21	ribosomal protein L21	0	0
6152	RPL24	ribosomal protein L24	0	1
4735	SEPT2	septin 2	0	1
6233	RPS27A	ribosomal protein S27a	0	1
6207	RPS13	ribosomal protein S13	0	1
2197	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed	0	1
1072	CFL1	cofilin 1	0	0
6141	RPL18	ribosomal protein L18	0	1
8665	EIF3F	eukaryotic translation initiation factor 3 subunit F	0	1
6193	RPS5	ribosomal protein S5	1	1
6155	RPL27	ribosomal protein L27	0	1
6164	RPL34	ribosomal protein L34	0	1
4677	NARS	asparaginyl-tRNA synthetase	0	1
56910	STARD7	StAR related lipid transfer domain containing 7	0	1
6143	RPL19	ribosomal protein L19	0	1
5250	SLC25A3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	0	1
6205	RPS11	ribosomal protein S11	0	0
6133	RPL9	ribosomal protein L9	0	0
1655	DDX5	DEAD-box helicase 5	0	1
6128	RPL6	ribosomal protein L6	0	1
23399	CTDNEP1	CTD nuclear envelope phosphatase 1	0	1
4736	RPL10A	ribosomal protein L10a	0	1
11335	CBX3	chromobox 3	0	1
